id_1,label_1,id_2,label_2,rg,se,z,p,h2_obs,h2_obs_se,h2_int,h2_int_se,gcov_int,gcov_int_se,adjusted_p_by,adjusted_p_bh
GCST006464,endometrial-carcinoma-2,GCST90043874,skin-carcinoma-face,-0.1761,0.1264,-1.3925,0.1638,0.0082,0.0013,1.0253,0.0095,-0.0002,0.0054,1.0,0.32216663414634145
GCST90042670,prostate-cancer-father,GCST90011809,melanoma-1,0.0564,0.118,0.4782,0.6325,0.0088,0.0023,1.0017,0.0089,0.01,0.005,1.0,0.7690936708860759
GCST90275151,autism-sex-M1,GCST004748,lung-carcinoma-1,0.0383,0.0558,0.6866,0.4923,0.0831,0.0159,1.0511,0.0115,-0.005,0.0056,1.0,0.6646731772575251
GCST90225527,anxiety-2,GCST006464,endometrial-carcinoma-2,0.0171,0.1269,0.1348,0.8927,0.0184,0.0047,1.0852,0.0094,-0.0014,0.006,1.0,0.9368470588235295
GCST90011804,breast-carcinoma-1,GCST009980,mdd-trauma,0.0973,0.0862,1.1293,0.2588,0.1061,0.0171,1.0018,0.0068,-0.0005,0.0054,1.0,0.4377020134228187
GCST90042672,lung-cancer-family-father,GCST90275158,schizophrenia-M1,0.2356,0.0789,2.9857,0.0028,0.1264,0.0132,1.0383,0.0086,0.0123,0.0056,0.07885703037057039,0.009632764505119453
GCST009981,mdd-notrauma,GCST90041853,prostate-cancer-5,0.0343,0.1319,0.2599,0.7949,0.0179,0.0029,1.0302,0.0107,0.0021,0.0049,1.0,0.8824440528634362
GCST90275153,mdd-age-sex-M1,GCST90275154,mdd-sex-M1,0.9974,0.004,251.9519,0.0,0.1184,0.0091,1.0275,0.0075,0.9643,0.0073,0.0,0.0
GCST90275155,mdd-5,GCST90041830,non-epithelial-carcinoma,0.1256,0.0532,2.363,0.0181,0.017,0.0027,1.0274,0.0123,-0.0105,0.0051,0.4285739794673561,0.052352367288378776
GCST90042670,prostate-cancer-father,GCST90041853,prostate-cancer-5,0.9972,0.1318,7.5642,3.9035e-14,0.018,0.0029,1.03,0.0107,0.0419,0.0075,2.776810236733246e-12,3.3920068965517244e-13
GCST90041886,breast-carcinoma-2,GCST90042696,prostate-cancer-sibling,0.2563,0.2407,1.0646,0.287,0.0015,0.0011,1.0022,0.0063,0.0034,0.0048,1.0,0.47155012224938875
GCST90042669,depression-family-father,GCST90042696,prostate-cancer-sibling,0.1126,0.2642,0.4262,0.6699,0.0015,0.0011,1.0022,0.0063,0.0113,0.0047,1.0,0.7981787234042553
GCST90275149,ADHD-1,GCST90042696,prostate-cancer-sibling,0.1002,0.1653,0.606,0.5445,0.0014,0.0011,1.0031,0.0063,0.0053,0.0057,1.0,0.7068332260141661
GCST004744,adenocarcinoma-lung,GCST004749,lung-carcinoma-smokers,0.8795,0.0512,17.1903,3.1401999999999995e-66,0.112,0.0269,1.0392,0.0094,0.6218,0.0079,9.422683909546997e-64,1.1510260363636362e-64
GCST009981,mdd-notrauma,GCST004748,lung-carcinoma-1,0.1556,0.1133,1.3738,0.1695,0.083,0.0159,1.0515,0.0116,0.0022,0.0052,1.0,0.32920231213872836
GCST90042685,intestinal-cancer-mother,GCST90042698,lung-cancer-family-sibling,-0.1056,0.2231,-0.4735,0.6359,0.0043,0.0014,1.0092,0.0067,0.0173,0.0048,1.0,0.772273734939759
GCST90043889,breast-neoplasm-1,GCST90013410,bcc-1,0.0992,0.0869,1.1418,0.2535,0.0316,0.0044,1.0621,0.0173,0.0369,0.006,1.0,0.432
GCST90043889,breast-neoplasm-1,GCST009981,mdd-notrauma,-0.1047,0.1726,-0.607,0.5438,0.0298,0.0093,1.0168,0.0066,0.0113,0.0047,1.0,0.7063793814432989
GCST90225527,anxiety-2,GCST90042682,depression-family-mother,0.662,0.1025,6.4567,1.0701e-10,0.0087,0.0012,1.0216,0.0077,0.0481,0.0051,6.375651908836355e-09,7.788164620938628e-10
GCST90042843,anxiety-treatment-1,GCST006465,endometrial-carcinoma-1,-0.0057,0.1297,-0.0439,0.965,0.0346,0.0098,1.0749,0.0091,-0.0021,0.0059,1.0,0.9810590015128592
GCST90275153,mdd-age-sex-M1,GCST004749,lung-carcinoma-smokers,0.2903,0.0856,3.3919,0.0007,0.1073,0.0265,1.0464,0.0096,-0.01,0.0057,0.021797273489223706,0.0026626415094339623
GCST90043889,breast-neoplasm-1,GCST90042670,prostate-cancer-father,0.0541,0.1288,0.4201,0.6744,0.0065,0.0013,1.0204,0.0081,0.0121,0.0043,1.0,0.8008197879858657
GCST009980,mdd-trauma,GCST90042784,depression-postpartum,0.5039,0.3408,1.4785,0.1393,0.0088,0.0076,0.998,0.0065,0.0268,0.0049,1.0,0.28921606591143156
GCST90042844,anxiety-treatment-2,GCST90011816,cervical-cancer-2,0.158,0.1227,1.287,0.1981,0.0088,0.0025,1.017,0.008,-0.002,0.0052,1.0,0.3691058823529412
GCST90275148,ADHD-sex-M1,GCST90041853,prostate-cancer-5,-0.0499,0.0617,-0.8091,0.4185,0.0178,0.0029,1.0305,0.0108,-0.0012,0.0059,1.0,0.6087131560028756
GCST90255676,crc-cancer-2,GCST009980,mdd-trauma,0.0266,0.0662,0.4017,0.6879,0.1086,0.0176,1.0002,0.0073,0.0074,0.0059,1.0,0.8053463414634146
GCST90225529,anxiety-others,GCST90041833,breast-neoplasm-2,0.1189,0.0836,1.4225,0.1549,0.0087,0.0014,1.0364,0.0098,0.0004,0.0051,1.0,0.31072477611940297
GCST003740,adenocarcinoma-barret-oesophagus,GCST90042696,prostate-cancer-sibling,-0.0342,0.2268,-0.1506,0.8803,0.0013,0.0011,1.0039,0.0062,0.005,0.0051,1.0,0.9286681318681319
GCST009980,mdd-trauma,GCST90042684,lung-cancer-family-mother,0.2586,0.151,1.7126,0.0868,0.0036,0.0012,1.0167,0.0066,0.0072,0.0047,1.0,0.19705945945945946
GCST90255675,crc-cancer-1,GCST009980,mdd-trauma,0.0102,0.0606,0.1681,0.8665,0.109,0.0176,1.0001,0.0073,0.0084,0.0058,1.0,0.9238048574445619
GCST90275152,autism-1,GCST90275156,schizo-age-sex-M1,0.6398,0.044,14.5425,6.5142e-48,0.1163,0.0118,1.0284,0.0077,0.3312,0.0059,1.2357250156101076e-45,1.5094973793103447e-46
GCST90225528,anxiety-any,GCST90042684,lung-cancer-family-mother,0.2679,0.1288,2.0802,0.0375,0.0035,0.0012,1.0173,0.0067,0.0041,0.0046,0.8164734462840579,0.09973614775725594
GCST005902,depression-broad,GCST90275154,mdd-sex-M1,0.6861,0.0404,16.9763,1.2306e-64,0.1179,0.0094,1.0284,0.0075,0.0217,0.006,3.3848986001415493e-62,4.134816e-63
GCST90042844,anxiety-treatment-2,GCST90042696,prostate-cancer-sibling,0.2594,0.2752,0.9425,0.3459,0.0015,0.0011,1.0022,0.0063,-0.0043,0.0047,1.0,0.5372375963020031
GCST90041833,breast-neoplasm-2,GCST003769,depression-symptoms,0.1359,0.0661,2.0564,0.0397,0.0387,0.0034,1.0147,0.0075,-0.0017,0.0051,0.8553458252270719,0.1044845953002611
GCST90042843,anxiety-treatment-1,GCST90042682,depression-family-mother,0.7562,0.1001,7.5508,4.326e-14,0.0089,0.0013,1.0202,0.0077,0.0642,0.0053,3.0510593840428768e-12,3.7270153846153844e-13
GCST90042700,breast-cancer-family-siblings,GCST90042672,lung-cancer-family-father,0.0733,0.118,0.621,0.5346,0.0132,0.0018,0.9979,0.0081,0.0169,0.0049,1.0,0.7008187134502925
GCST003740,adenocarcinoma-barret-oesophagus,GCST90041853,prostate-cancer-5,0.047,0.0889,0.5285,0.5971,0.018,0.0029,1.0301,0.0108,0.0027,0.0052,1.0,0.7425993830968537
GCST004748,lung-carcinoma-1,GCST90043894,prostate-cancer-1,-0.0733,0.0815,-0.9001,0.368,0.0264,0.0035,1.0402,0.0137,0.009,0.0064,1.0,0.5599154716981132
GCST90275157,schizo-sex-M1,GCST90137412,squamous-carcinoma,0.2841,0.0411,6.9065,4.9681e-12,0.0959,0.0109,0.788,0.0191,0.0063,0.006,3.0894088138822487e-10,3.773861052631579e-11
GCST90275157,schizo-sex-M1,GCST90275158,schizophrenia-M1,1.0,1.2834e-05,77922.0797,0.0,0.129,0.0125,1.0356,0.0084,1.0355,0.0084,0.0,0.0
GCST90255676,crc-cancer-2,GCST90137412,squamous-carcinoma,0.1105,0.0335,3.3024,0.001,0.0956,0.0104,0.7887,0.0176,0.0305,0.0066,0.030281926472578147,0.0036990825688073396
GCST90275150,autism-age-sex-M1,GCST90043889,breast-neoplasm-1,-0.1082,0.0919,-1.1771,0.2391,0.0048,0.0011,1.0124,0.008,0.0037,0.0049,1.0,0.4176998266897747
GCST004744,adenocarcinoma-lung,GCST90137411,bcc-2,0.1341,0.0557,2.4075,0.0161,0.0696,0.0118,0.9745,0.0231,0.0242,0.0067,0.38620459859540257,0.04717674418604651
GCST90042844,anxiety-treatment-2,GCST004748,lung-carcinoma-1,-0.2801,0.0938,-2.9856,0.0028,0.0841,0.0167,1.0497,0.0119,0.0043,0.0053,0.07885703037057039,0.009632764505119453
GCST90042843,anxiety-treatment-1,GCST009981,mdd-notrauma,0.9153,0.1606,5.6981,1.2115e-08,0.0296,0.0093,1.0169,0.0066,0.1693,0.0052,6.428994175959161e-07,7.853324758842443e-08
GCST009981,mdd-notrauma,GCST006464,endometrial-carcinoma-2,0.2669,0.1847,1.4448,0.1485,0.0186,0.0046,1.0851,0.0099,-0.0052,0.0056,1.0,0.3014864048338368
GCST90042778,anxiety-1,GCST90011816,cervical-cancer-2,0.2839,0.1983,1.4315,0.1523,0.0088,0.0025,1.0172,0.008,-0.0003,0.005,1.0,0.3079384615384616
GCST90275151,autism-sex-M1,GCST90275154,mdd-sex-M1,0.6201,0.0439,14.1341,2.3400000000000002e-45,0.1187,0.0091,1.0272,0.0075,0.3891,0.0062,4.022764669841554e-43,4.914e-44
GCST90042669,depression-family-father,GCST004750,lung-cancer-squamous,-0.2511,0.1375,-1.8254,0.0679,0.0557,0.0152,1.0385,0.0097,0.0022,0.0057,1.0,0.16256528925619834
GCST90041886,breast-carcinoma-2,GCST90011816,cervical-cancer-2,0.3373,0.1329,2.5388,0.0111,0.0088,0.0025,1.0174,0.008,0.0086,0.0047,0.27925383261564257,0.034112195121951225
GCST90225527,anxiety-2,GCST90041833,breast-neoplasm-2,0.2004,0.0919,2.1805,0.0292,0.0087,0.0014,1.0364,0.0098,-0.0008,0.0053,0.6592429246027478,0.0805296853625171
GCST90041886,breast-carcinoma-2,GCST90042698,lung-cancer-family-sibling,0.2871,0.1569,1.8295,0.0673,0.0043,0.0014,1.0091,0.0067,-0.0058,0.0053,1.0,0.16152
GCST90042786,depression-trauma,GCST004750,lung-cancer-squamous,0.416,0.1552,2.6809,0.0073,0.0557,0.0151,1.0385,0.0096,-0.0036,0.0055,0.1918417905591595,0.0234343949044586
GCST90275152,autism-1,GCST005903,mdd-2,0.2803,0.0643,4.357,1.3185e-05,0.0172,0.0021,1.0012,0.0068,0.0045,0.005,0.000519333232207193,6.343904534606206e-05
GCST90225528,anxiety-any,GCST009979,mdd-1,0.6981,0.0706,9.8817,4.9989e-23,0.0781,0.006,1.0181,0.0077,0.063,0.0061,5.061355559684364e-21,6.182688588957054e-22
GCST90011816,cervical-cancer-2,GCST90041853,prostate-cancer-5,-0.0008,0.1239,-0.0068,0.9945,0.0182,0.003,1.0291,0.0112,0.0005,0.0051,1.0,0.9969726504226754
GCST90275154,mdd-sex-M1,GCST90042673,intestinal-cancer-father,0.1669,0.1555,1.0732,0.2832,0.0018,0.0011,1.0246,0.0067,0.0048,0.0053,1.0,0.46661176470588234
GCST005903,mdd-2,GCST90041853,prostate-cancer-5,0.0513,0.0927,0.5537,0.5798,0.018,0.0029,1.0301,0.0107,0.0013,0.0052,1.0,0.7319203506574828
GCST90043894,prostate-cancer-1,GCST90137411,bcc-2,0.1056,0.0547,1.93,0.0536,0.0701,0.0119,0.9733,0.0229,0.0445,0.0058,1.0,0.13440000000000002
GCST90042844,anxiety-treatment-2,GCST90042786,depression-trauma,-0.0757,0.1535,-0.4933,0.6218,0.0205,0.0053,1.012,0.0071,-0.0296,0.0049,1.0,0.7619672131147541
GCST90042844,anxiety-treatment-2,GCST90043874,skin-carcinoma-face,-0.0918,0.1024,-0.8969,0.3698,0.0083,0.0014,1.0233,0.008,0.004,0.0049,1.0,0.5613831325301205
GCST90042684,lung-cancer-family-mother,GCST90011808,prostate-cancer-3,-0.0936,0.1272,-0.736,0.4617,0.0332,0.0046,1.0536,0.0197,0.0041,0.0055,1.0,0.6412905712319339
GCST90275151,autism-sex-M1,GCST90042685,intestinal-cancer-mother,0.2359,0.1193,1.9778,0.0479,0.0034,0.001,1.0083,0.0064,-0.0078,0.0057,0.999399281327293,0.12208141592920353
GCST90042673,intestinal-cancer-father,GCST90275158,schizophrenia-M1,-0.0873,0.1755,-0.4973,0.619,0.1264,0.0132,1.0382,0.0087,0.0142,0.0054,1.0,0.7601130328867234
GCST90275156,schizo-age-sex-M1,GCST90275158,schizophrenia-M1,0.9952,0.0035,281.5187,0.0,0.129,0.0125,1.0356,0.0084,0.9877,0.0079,0.0,0.0
GCST90042843,anxiety-treatment-1,GCST90011809,melanoma-1,0.0705,0.0911,0.7737,0.4391,0.0088,0.0023,1.0016,0.009,-0.0064,0.005,1.0,0.62295960591133
GCST90042684,lung-cancer-family-mother,GCST90042672,lung-cancer-family-father,1.0833,0.1824,5.9399,2.8522e-09,0.0132,0.0018,0.9979,0.0081,0.0419,0.0057,1.5690570107790876e-07,1.9166784e-08
GCST004744,adenocarcinoma-lung,GCST90275153,mdd-age-sex-M1,0.1817,0.0748,2.4275,0.0152,0.1093,0.009,1.0198,0.0072,-0.0038,0.0057,0.3667477761678909,0.0448
GCST90225527,anxiety-2,GCST90042695,depression-family-sibling,0.5998,0.085,7.059,1.6769e-12,0.0128,0.0015,1.0175,0.008,0.0525,0.0049,1.0810535376373881e-10,1.3205587500000001e-11
GCST90042670,prostate-cancer-father,GCST90137411,bcc-2,0.1426,0.0699,2.0384,0.0415,0.0701,0.0119,0.9732,0.0228,0.014,0.0058,0.8871780725304874,0.10837305699481865
GCST90275154,mdd-sex-M1,GCST90137411,bcc-2,0.0124,0.038,0.3259,0.7445,0.0698,0.0121,0.9761,0.0236,-0.0073,0.005,1.0,0.8470158013544018
GCST004744,adenocarcinoma-lung,GCST90043894,prostate-cancer-1,0.0144,0.0858,0.1678,0.8667,0.026,0.0035,1.0417,0.0138,0.0074,0.006,1.0,0.9238048574445619
GCST90275150,autism-age-sex-M1,GCST90255676,crc-cancer-2,0.0452,0.0431,1.0475,0.2949,0.0869,0.0095,1.1564,0.0196,-0.0041,0.0061,1.0,0.4817815235008104
GCST90225528,anxiety-any,GCST90011809,melanoma-1,-0.0253,0.0911,-0.2772,0.7816,0.009,0.0023,1.0007,0.0091,0.0011,0.0047,1.0,0.8720008854454896
GCST90041833,breast-neoplasm-2,GCST009979,mdd-1,0.0104,0.0641,0.1629,0.8706,0.078,0.0059,1.0181,0.0076,0.0061,0.0048,1.0,0.9246267997898056
GCST90042669,depression-family-father,GCST90042670,prostate-cancer-father,0.321,0.1306,2.4571,0.014,0.0065,0.0013,1.0203,0.0081,-0.0123,0.0045,0.3412867045580078,0.04168980797636632
GCST90275151,autism-sex-M1,GCST90255675,crc-cancer-1,0.0432,0.0396,1.091,0.2753,0.0886,0.0089,1.1716,0.0214,-0.0038,0.006,1.0,0.45717034596375616
GCST90225528,anxiety-any,GCST90042784,depression-postpartum,0.3519,0.2342,1.5024,0.133,0.01,0.0072,0.9964,0.006,0.0115,0.0046,1.0,0.2781410788381743
GCST004744,adenocarcinoma-lung,GCST90041853,prostate-cancer-5,-0.0532,0.0976,-0.5452,0.5856,0.0188,0.003,1.0281,0.0107,0.0105,0.0055,1.0,0.7364366355140187
GCST90255675,crc-cancer-1,GCST90137412,squamous-carcinoma,0.0981,0.0325,3.0216,0.0025,0.0956,0.0104,0.7886,0.0176,0.041,0.007,0.0716304250327912,0.00875
GCST90042843,anxiety-treatment-1,GCST90013410,bcc-1,-0.1236,0.0596,-2.0719,0.0383,0.0316,0.0044,1.0623,0.0173,0.0022,0.0058,0.8306041947770828,0.10146228646517741
GCST90042686,breast-cancer-family-mother,GCST90275156,schizo-age-sex-M1,-0.1115,0.0911,-1.2241,0.2209,0.1136,0.0123,1.0313,0.008,-0.0004,0.0048,1.0,0.39515031055900623
GCST90042684,lung-cancer-family-mother,GCST90275157,schizo-sex-M1,0.4819,0.1344,3.5864,0.0003,0.126,0.0132,1.0383,0.0087,0.005,0.0055,0.00986273900053093,0.0012047808764940238
