"SNP_rm_GWAS1_Nmiss","SNP_rm_GWAS2_Nmiss","SNP_RP_GWAS1_TOTAL","SNP_RP_GWAS1_PERC","SNP_RP_GWAS2_TOTAL","SNP_RP_GWAS2_PERC","h2_1","h2_1_se","h2_2","h2_2_se","gcov","gcov_se","rg","se","p","output_file","output_file_path","id_1","label_1","id_2","label_2"
0,0,1027982,1029876,1009763,1029876,0.076,0.0052,1,0,0.1072,0.0052,0.3888,0.0231,1.93e-63,"GCST010009_mdd-lifetime-1_GCST006803_SCZ-PGC-2018.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST010009_mdd-lifetime-1_GCST006803_SCZ-PGC-2018.Rout","GCST010009","mdd-lifetime-1","GCST006803","SCZ-PGC-2018"
0,321,1029867,1029876,797259,1029876,0.0107,0.0016,0.1186,0.0084,-0.0012,0.0021,-0.0334,0.0606,0.582,"GCST90041833_breast-neoplasm-2_GCST90271619_partial-epilepsy-2.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST90041833_breast-neoplasm-2_GCST90271619_partial-epilepsy-2.Rout","GCST90041833","breast-neoplasm-2","GCST90271619","partial-epilepsy-2"
0,304,1008231,1029876,836495,1029876,0.0366,0.0143,0.2967,0.0142,-0.0044,0.0053,-0.0421,0.0503,0.403,"GCST002245_alzheimers-late-onset-4_GCST90271612_generalised-epilepsy.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST002245_alzheimers-late-onset-4_GCST90271612_generalised-epilepsy.Rout","GCST002245","alzheimers-late-onset-4","GCST90271612","generalised-epilepsy"
0,0,1029867,1029876,1009763,1029876,0.0085,0.001,1,0,0.0022,0.0027,0.0242,0.029,0.403,"GCST90042670_prostate-cancer-father_GCST006803_SCZ-PGC-2018.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST90042670_prostate-cancer-father_GCST006803_SCZ-PGC-2018.Rout","GCST90042670","prostate-cancer-father","GCST006803","SCZ-PGC-2018"
0,0,1016803,1029876,1029867,1029876,0.0384,0.0036,0.0095,0.001,-2e-04,0.0013,-0.0107,0.0683,0.875,"GCST90027164_lateral-sclerosis-1_GCST90042682_depression-family-mother.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST90027164_lateral-sclerosis-1_GCST90042682_depression-family-mother.Rout","GCST90027164","lateral-sclerosis-1","GCST90042682","depression-family-mother"
336,0,836400,1029876,1029867,1029876,0.1216,0.0106,0.0414,0.004,0.002,0.0033,0.0278,0.0463,0.548,"GCST90271613_partial-epilepsy-1_GCST90044335_glaucoma.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST90271613_partial-epilepsy-1_GCST90044335_glaucoma.Rout","GCST90271613","partial-epilepsy-1","GCST90044335","glaucoma"
0,0,1029867,1029876,1028643,1029876,0.0138,0.0011,0.0641,0.0021,0.0236,9e-04,0.7927,0.0462,6.35e-66,"GCST90042695_depression-family-sibling_GCST005902_depression-broad.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST90042695_depression-family-sibling_GCST005902_depression-broad.Rout","GCST90042695","depression-family-sibling","GCST005902","depression-broad"
304,0,836495,1029876,1029867,1029876,0.2967,0.0142,0.0049,0.0012,0.0027,0.0024,0.0714,0.0621,0.251,"GCST90271612_generalised-epilepsy_GCST90042698_lung-cancer-family-sibling.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST90271612_generalised-epilepsy_GCST90042698_lung-cancer-family-sibling.Rout","GCST90271612","generalised-epilepsy","GCST90042698","lung-cancer-family-sibling"
0,0,1029867,1029876,1029099,1029876,0.0113,0.001,0.2424,0.0091,0.0158,0.0022,0.3022,0.0463,6.98e-11,"GCST90042672_lung-cancer-family-father_GCST90275157_schizo-sex-M1.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST90042672_lung-cancer-family-father_GCST90275157_schizo-sex-M1.Rout","GCST90042672","lung-cancer-family-father","GCST90275157","schizo-sex-M1"
0,716,1029867,1029876,413142,1029876,0.0143,0.0013,0,0,0.0018,0.0032,Inf,NA,NA,"GCST90042860_crc-benign-neoplasm_GCST001198_multiple-sclerosis-2.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST90042860_crc-benign-neoplasm_GCST001198_multiple-sclerosis-2.Rout","GCST90042860","crc-benign-neoplasm","GCST001198","multiple-sclerosis-2"
