File	initial_RP	regr_weight	merg_RP	merge_regr	sumstats	merge_sumstats	valid_alleles_SNP
ADHD_GCST90275137_ASD_GCST90275152.log	1190321	1190321	1167668	1167668	1217311	1167668	1167439
ANX_GCST90225529_DEP_GCST90275155.log	1190321	1190321	1124418	1124418	1217311	1124418	1120278
ADHD_GCST90275137_LungCancer_GCST004748.log	1190321	1190321	1167668	1167668	1217311	1167668	1101903
ASD_GCST90275140_ANX_GCST90225528.log	1190321	1190321	1167670	1167670	1217311	1167670	1120286
ADHD_GCST90275137_SCZ_scz2018clozuk.log	1190321	1190321	1167668	1167668	1217311	1167668	1143300
ADHD_GCST90275137_BIP_daner_bip_pgc3_nm_noukbiobank.log	1190321	1190321	1167668	1167668	1217311	1167668	1105629
ADHD_GCST90275137_DEP_GCST90275143.log	1190321	1190321	1167668	1167668	1217311	1167668	1167459
ANX_GCST90225527_ANX_GCST90225528.log	1190321	1190321	1124418	1124418	1217311	1124418	1124418
ASD_GCST010514_ANX_GCST90225528.log	1190321	1190321	1139907	1139907	1217311	1139907	1098352
ANX_GCST90225527_ANX_GCST90225529.log	1190321	1190321	1124418	1124418	1217311	1124418	1124418
ANX_GCST90225529_SCZ_scz2018clozuk.log	1190321	1190321	1124418	1124418	1217311	1124418	1103309
ADHD_GCST90275149_SCZ_scz2018clozuk.log	1190321	1190321	1167668	1167668	1217311	1167668	1143300
ADHD_GCST90275149_ANX_GCST90225527.log	1190321	1190321	1167668	1167668	1217311	1167668	1120292
ASD_GCST010514_ANX_GCST90225529.log	1190321	1190321	1139907	1139907	1217311	1139907	1098352
ADHD_GCST90275149_DEP_GCST90275143.log	1190321	1190321	1167668	1167668	1217311	1167668	1167459
ADHD_GCST90275149_ASD_iPSYCH-PGC_ASD_Nov2017.log	1190321	1190321	1167668	1167668	1217311	1167668	1044131
SCZ_scz2018clozuk_DEP_GCST90275155.log	1190321	1190321	1147331	1147331	1217311	1147331	1143286
ADHD_GCST90275149_BreastCancer_GCST90041886.log	1190321	1190321	1167668	1167668	1217311	1167668	1147190
SCZ_GCST90275158_LungCancer_GCST004748.log	1190321	1190321	1167672	1167672	1217311	1167672	1101903
BIP_bip2019_daner_DEP_GCST90275143.log	1190321	1190321	1091498	1091498	1217311	1091498	1083248
ASD_iPSYCH-PGC_ASD_Nov2017_ANX_GCST90225527.log	1190321	1190321	1044888	1044888	1217311	1044888	1021531
BIP_bip2019_daner_BreastCancer_GCST90041886.log	1190321	1190321	1091498	1091498	1217311	1091498	1075916
ASD_GCST90275152_BIP_bip2019_daner.log	1190321	1190321	1167670	1167670	1217311	1167670	1083247
