id_1,label_1,id_2,label_2,rg,se,z,p,h2_obs,h2_obs_se,h2_int,h2_int_se,gcov_int,gcov_int_se
GCST90275148,ADHD-sex-M1,GCST90041830,non-epithelial-carcinoma,0.0705,0.0448,1.5744,0.1154,0.017,0.0027,1.0272,0.0123,-0.0059,0.0058
GCST90399736,thyroid-cancer,GCST90435666,uterine-benign-neoplasm,0.3136,0.1253,2.5017,0.0124,0.0108,0.0023,1.0215,0.007,0.0041,0.0051
GCST90011804,breast-carcinoma-1,GCST009337,SCZ-PGC-2019,0.0047,0.0399,0.1177,0.9063,0.4419,0.0191,1.0995,0.0122,-0.009,0.0074
GCST004692,lateral-sclerosis-2,GCST90275151,autism-sex-M1,0.0694,0.1246,0.5573,0.5773,0.15,0.0118,1.0322,0.0083,-0.0029,0.0054
GCST007511,alzheimers-late-onset-1,GCST90275153,mdd-age-sex-M1,0.008,0.0767,0.104,0.9171,0.1082,0.0087,1.0205,0.0072,0.0016,0.0047
GCST90042784,depression-postpartum,GCST009981,mdd-notrauma,0.4409,0.3911,1.1274,0.2596,0.0298,0.0095,1.0183,0.0069,0.0155,0.0048
GCST90435601,breast-cancer-2,GCST006803,SCZ-PGC-2018,0.0025,0.041,0.0605,0.9518,1.1976,0.0489,1.1164,0.0142,-0.0122,0.0066
GCST90435919,headache-disorder-1,GCST90428117,prostate-cancer,0.0162,0.1108,0.1459,0.884,0.0316,0.0045,1.0469,0.0109,-0.0047,0.0053
GCST90435657,digestive-neoplasm,GCST90435594,skin-cancer,0.0609,0.1821,0.3344,0.7381,0.0168,0.0033,1.0301,0.0135,0.0037,0.005
GCST008465,ANN-PGC-2019,GCST90435594,skin-cancer,0.0852,0.0499,1.7099,0.0873,0.0166,0.0039,1.0359,0.0197,-0.0028,0.0065
GCST90428118,crc-cancer-3,GCST90042682,depression-family-mother,-0.0603,0.1371,-0.4398,0.6601,0.0085,0.0014,1.0224,0.0087,-0.0018,0.0057
GCST90042860,crc-benign-neoplasm,GCST90436510,uterine-polyp-1,0.1967,0.17,1.1572,0.2472,0.0048,0.0021,1.003,0.0068,0.0018,0.0053
GCST90012878,alzheimers-disease-family-history,GCST90042784,depression-postpartum,-0.226,0.2704,-0.8357,0.4033,0.0104,0.0075,0.9971,0.0063,0.0054,0.0051
GCST012431,parkinsons-1,GCST90436510,uterine-polyp-1,-0.1007,0.3797,-0.2651,0.7909,0.0032,0.004,1.0196,0.0193,0.0113,0.0122
GCST90271619,partial-epilepsy-2,GCST90399736,thyroid-cancer,-0.1841,0.1308,-1.4073,0.1593,0.0032,0.001,1.0124,0.0104,0.0014,0.0063
GCST90042700,breast-cancer-family-siblings,GCST90435859,depression-disorder,0.1036,0.1006,1.0297,0.3031,0.0165,0.0015,0.9969,0.0069,0.009,0.005
GCST90225529,anxiety-others,GCST90239856,uterine-leiomyoma-2,0.0259,0.0607,0.4264,0.6698,0.0253,0.0029,1.0293,0.0132,0.0116,0.0056
GCST90042672,lung-cancer-family-father,GCST90435857,mood-disorder,0.3272,0.0703,4.6521,3.2864e-06,0.0165,0.0015,0.9992,0.0072,0.0146,0.0051
GCST90275147,ADHD-age-sex-M1,GCST90275155,mdd-5,0.5809,0.0335,17.3208,3.2750e-67,0.1192,0.0091,1.0287,0.0076,0.4579,0.0063
