type,selection,id,disease,disease_subtype,label,filename,ref_genome,snp,a1,a2,frq,z,b,OR,se_beta,se_OR,p,N_col,N_num,Nca_col,Nca_val,Nco_col,Nco_val,INFO,ignore,local_raw_path,remote_raw_path,shared_raw_path,local_preprocessed_path,remote_preprocessed_path,shared_preprocessed_path,munged,local_munged_path,remote_munged_path,shared_munged_path,wrangled,local_wrangled_path,remote_wrangled_path,shared_wrangled_path
CAN,subtype,GCST90013410,skin cancer,basal cell,bcc-1,GCST90013410.tsv,GRCh37,variant_id,effect_allele,other_allele,effect_allele_frequency,,beta,,standard_error,,p_value,N,392871,,17416,,375455,,,/home/maria/git/SOROLLA/SumStats/RAW/GCST90013410.tsv,/gpfs/projects/bsc02/mflores/gencor/SumStats/RAW/GCST90013410.tsv,/gpfs/projects/hpcsharing/364592/SumStats/RAW/GCST90013410.tsv,/home/maria/git/SOROLLA/SumStats/PREPROCESSED/bcc-1_GCST90013410.tsv,/gpfs/projects/bsc02/mflores/gencor/SumStats/PREPROCESSED/bcc-1_GCST90013410.tsv,/gpfs/projects/hpcsharing/364592/SumStats/PREPROCESSED/bcc-1_GCST90013410.tsv,False,,,,False,,,
CAN,subtype,GCST90137411,skin cancer,basal cell,bcc-2,GCST90137411.tsv.gz,GRCh37,variant_id,effect_allele,other_allele,effect_allele_frequency,,beta,odds_ratio,standard_error,,p_value,,307684,,20791,,286893,,,/home/maria/git/SOROLLA/SumStats/RAW/GCST90137411.tsv.gz,/gpfs/projects/bsc02/mflores/gencor/SumStats/RAW/GCST90137411.tsv.gz,/gpfs/projects/hpcsharing/364592/SumStats/RAW/GCST90137411.tsv.gz,/home/maria/git/SOROLLA/SumStats/PREPROCESSED/bcc-2_GCST90137411.tsv,/gpfs/projects/bsc02/mflores/gencor/SumStats/PREPROCESSED/bcc-2_GCST90137411.tsv,/gpfs/projects/hpcsharing/364592/SumStats/PREPROCESSED/bcc-2_GCST90137411.tsv,False,,,,False,,,
CAN,subtype,GCST90043874,skin cancer,,skin-carcinoma-face,GCST90043874.tsv.gz,GRCh37,variant_id,effect_allele,other_allele,effect_allele_frequency,,beta,,standard_error,,P_noSPA,N,456348,,6046,,450302,,,/home/maria/git/SOROLLA/SumStats/RAW/GCST90043874.tsv.gz,/gpfs/projects/bsc02/mflores/gencor/SumStats/RAW/GCST90043874.tsv.gz,/gpfs/projects/hpcsharing/364592/SumStats/RAW/GCST90043874.tsv.gz,/home/maria/git/SOROLLA/SumStats/PREPROCESSED/skin-carcinoma-face_GCST90043874.tsv,/gpfs/projects/bsc02/mflores/gencor/SumStats/PREPROCESSED/skin-carcinoma-face_GCST90043874.tsv,/gpfs/projects/hpcsharing/364592/SumStats/PREPROCESSED/skin-carcinoma-face_GCST90043874.tsv,False,,,,False,,,
CAN,main,GCST90041830,skin cancer,,non-epithelial-carcinoma,GCST90041830.tsv.gz,GRCh37,variant_id,effect_allele,other_allele,effect_allele_frequency,,beta,,standard_error,,P_noSPA,N,456348,,11964,,444384,,,/home/maria/git/SOROLLA/SumStats/RAW/GCST90041830.tsv.gz,/gpfs/projects/bsc02/mflores/gencor/SumStats/RAW/GCST90041830.tsv.gz,/gpfs/projects/hpcsharing/364592/SumStats/RAW/GCST90041830.tsv.gz,/home/maria/git/SOROLLA/SumStats/PREPROCESSED/non-epithelial-carcinoma_GCST90041830.tsv,/gpfs/projects/bsc02/mflores/gencor/SumStats/PREPROCESSED/non-epithelial-carcinoma_GCST90041830.tsv,/gpfs/projects/hpcsharing/364592/SumStats/PREPROCESSED/non-epithelial-carcinoma_GCST90041830.tsv,False,,,,False,,,
CAN,subtype,GCST90137412,skin cancer,squamous cell,squamous-carcinoma,GCST90137412.tsv.gz,GRCh37,variant_id,effect_allele,other_allele,effect_allele_frequency,,beta,,standard_error,,p_value,,294294,,7402,,286892,,,/home/maria/git/SOROLLA/SumStats/RAW/GCST90137412.tsv.gz,/gpfs/projects/bsc02/mflores/gencor/SumStats/RAW/GCST90137412.tsv.gz,/gpfs/projects/hpcsharing/364592/SumStats/RAW/GCST90137412.tsv.gz,/home/maria/git/SOROLLA/SumStats/PREPROCESSED/squamous-carcinoma_GCST90137412.tsv,/gpfs/projects/bsc02/mflores/gencor/SumStats/PREPROCESSED/squamous-carcinoma_GCST90137412.tsv,/gpfs/projects/hpcsharing/364592/SumStats/PREPROCESSED/squamous-carcinoma_GCST90137412.tsv,False,,,,False,,,
CAN,minor,GCST90435594,skin cancer,,skin-cancer,GCST90435594.tsv.gz,,variant_id,effect_allele,other_allele,effect_allele_frequency,,beta,,standard_error,,p_value,,408823,n_cases,13752,n_controls,395071,,,/home/maria/git/SOROLLA/SumStats/RAW/GCST90435594.tsv.gz,/gpfs/projects/bsc02/mflores/gencor/SumStats/RAW/GCST90435594.tsv.gz,/gpfs/projects/hpcsharing/364592/SumStats/RAW/GCST90435594.tsv.gz,/home/maria/git/SOROLLA/SumStats/PREPROCESSED/skin-cancer_GCST90435594.tsv,/gpfs/projects/bsc02/mflores/gencor/SumStats/PREPROCESSED/skin-cancer_GCST90435594.tsv,/gpfs/projects/hpcsharing/364592/SumStats/PREPROCESSED/skin-cancer_GCST90435594.tsv,False,,,,False,,,
CAN,minor,GCST90435597,skin cancer,,skin-neoplasm,GCST90435597.tsv.gz,,variant_id,effect_allele,other_allele,effect_allele_frequency,,beta,,standard_error,,p_value,,406220,n_cases,11149,n_controls,395071,,,/home/maria/git/SOROLLA/SumStats/RAW/GCST90435597.tsv.gz,/gpfs/projects/bsc02/mflores/gencor/SumStats/RAW/GCST90435597.tsv.gz,/gpfs/projects/hpcsharing/364592/SumStats/RAW/GCST90435597.tsv.gz,/home/maria/git/SOROLLA/SumStats/PREPROCESSED/skin-neoplasm_GCST90435597.tsv,/gpfs/projects/bsc02/mflores/gencor/SumStats/PREPROCESSED/skin-neoplasm_GCST90435597.tsv,/gpfs/projects/hpcsharing/364592/SumStats/PREPROCESSED/skin-neoplasm_GCST90435597.tsv,False,,,,False,,,
CAN,minor,GCST90435663,skin cancer,benign,skin-benign-neoplasm,GCST90435663.tsv.gz,,variant_id,effect_allele,other_allele,effect_allele_frequency,,beta,,standard_error,,p_value,,408340,n_cases,7722,n_controls,400618,,,/home/maria/git/SOROLLA/SumStats/RAW/GCST90435663.tsv.gz,/gpfs/projects/bsc02/mflores/gencor/SumStats/RAW/GCST90435663.tsv.gz,/gpfs/projects/hpcsharing/364592/SumStats/RAW/GCST90435663.tsv.gz,/home/maria/git/SOROLLA/SumStats/PREPROCESSED/skin-benign-neoplasm_GCST90435663.tsv,/gpfs/projects/bsc02/mflores/gencor/SumStats/PREPROCESSED/skin-benign-neoplasm_GCST90435663.tsv,/gpfs/projects/hpcsharing/364592/SumStats/PREPROCESSED/skin-benign-neoplasm_GCST90435663.tsv,False,,,,False,,,
CAN,main,GCST90399736,thyroid cancer,,thyroid-cancer,GCST90399736.tsv.gz,,rs_id,effect_allele,other_allele,effect_allele_frequency,,beta,,standard_error,,p_value,,1339769,N_case,6015,N_ctrl,1333754,,,/home/maria/git/SOROLLA/SumStats/RAW/GCST90399736.tsv.gz,/gpfs/projects/bsc02/mflores/gencor/SumStats/RAW/GCST90399736.tsv.gz,/gpfs/projects/hpcsharing/364592/SumStats/RAW/GCST90399736.tsv.gz,/home/maria/git/SOROLLA/SumStats/PREPROCESSED/thyroid-cancer_GCST90399736.tsv,/gpfs/projects/bsc02/mflores/gencor/SumStats/PREPROCESSED/thyroid-cancer_GCST90399736.tsv,/gpfs/projects/hpcsharing/364592/SumStats/PREPROCESSED/thyroid-cancer_GCST90399736.tsv,False,,,,False,,,
NEU,main,GCST007277,tourette syndrome,,TS-PGC-2019,GCST007277.gz,,SNP,A1,A2,,,,OR,,SE,P,,14307,,4819,,9488,INFO,,/home/maria/git/SOROLLA/SumStats/RAW/GCST007277.gz,/gpfs/projects/bsc02/mflores/gencor/SumStats/RAW/GCST007277.gz,/gpfs/projects/hpcsharing/364592/SumStats/RAW/GCST007277.gz,/home/maria/git/SOROLLA/SumStats/PREPROCESSED/TS-PGC-2019_GCST007277.tsv,/gpfs/projects/bsc02/mflores/gencor/SumStats/PREPROCESSED/TS-PGC-2019_GCST007277.tsv,/gpfs/projects/hpcsharing/364592/SumStats/PREPROCESSED/TS-PGC-2019_GCST007277.tsv,False,,,,False,,,
CAN,main,GCST90435666,uterus cancer,,uterine-benign-neoplasm,GCST90435666.tsv.gz,,variant_id,effect_allele,other_allele,effect_allele_frequency,,beta,,standard_error,,p_value,,402263,n_cases,10610,n_controls,391653,,,/home/maria/git/SOROLLA/SumStats/RAW/GCST90435666.tsv.gz,/gpfs/projects/bsc02/mflores/gencor/SumStats/RAW/GCST90435666.tsv.gz,/gpfs/projects/hpcsharing/364592/SumStats/RAW/GCST90435666.tsv.gz,/home/maria/git/SOROLLA/SumStats/PREPROCESSED/uterine-benign-neoplasm_GCST90435666.tsv,/gpfs/projects/bsc02/mflores/gencor/SumStats/PREPROCESSED/uterine-benign-neoplasm_GCST90435666.tsv,/gpfs/projects/hpcsharing/364592/SumStats/PREPROCESSED/uterine-benign-neoplasm_GCST90435666.tsv,False,,,,False,,,
