type,selection,title,pubmedId,efoTraits,disease,disease_subtype,label,condition_label,summaryStatistics,id,filename,Ancestry,ref_genome,snp,a1,a2,frq,FRQ_U,FRQ_A,z,b,OR,se,p,N_col,N_num,Nca_col,Nca_val,Nco_col,Nco_val,INFO,ignore
PSY,subtype,A generalized linear mixed model association tool for biobank-scale data.,34737426,"anxiety,clinical treatment",anxiety,medication,anxiety-medication,ANX,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90042001-GCST90043000/GCST90042841/GCST90042841_buildGRCh37.tsv.gz,GCST90042841,GCST90042841.tsv.gz, European,GRCh37,variant_id,effect_allele,other_allele,effect_allele_frequency,,,,beta,,standard_error,P_noSPA,N,123823,,16139.0,,107684.0,,
PSY,subtype,A generalized linear mixed model association tool for biobank-scale data.,34737426,"anxiety,treatment",anxiety,treatment,anxiety-treatment-1,ANX,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90042001-GCST90043000/GCST90042843/GCST90042843_buildGRCh37.tsv.gz,GCST90042843,GCST90042843.tsv.gz, European,GRCh37,variant_id,effect_allele,other_allele,effect_allele_frequency,,,,beta,,standard_error,P_noSPA,N,123823,,16124.0,,107699.0,,
PSY,subtype,A generalized linear mixed model association tool for biobank-scale data.,34737426,"anxiety,treatment",anxiety,treatment,anxiety-treatment-2,ANX,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90042001-GCST90043000/GCST90042844/GCST90042844_buildGRCh37.tsv.gz,GCST90042844,GCST90042844.tsv.gz, European,GRCh37,variant_id,effect_allele,other_allele,effect_allele_frequency,,,,beta,,standard_error,P_noSPA,N,123823,,7213.0,,116610.0,,
PSY,minor,Efficiently controlling for case-control imbalance and sample relatedness in large-scale genetic association studies.,30104761,anxiety disorder,anxiety,,anxiety-3,ANX,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90435001-GCST90436000/GCST90435863/GCST90435863.tsv.gz,GCST90435863,GCST90435863.tsv.gz,European,,variant_id,effect_allele,other_allele,effect_allele_frequency,,,,beta,,standard_error,p_value,,372415,n_cases,6939.0,n_controls,365476.0,,
PSY,minor,Efficiently controlling for case-control imbalance and sample relatedness in large-scale genetic association studies.,30104761,anxiety disorder,anxiety,,anxiety-4,ANX,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90435001-GCST90436000/GCST90435864/GCST90435864.tsv.gz,GCST90435864,GCST90435864.tsv.gz,European,,variant_id,effect_allele,other_allele,effect_allele_frequency,,,,beta,,standard_error,p_value,,371851,n_cases,6375.0,n_controls,365476.0,,
PSY,subtype,ADuLT: An efficient and robust time-to-event GWAS.,37689771,attention deficit hyperactivity disorder,attention deficit disorder,"age, sex",ADHD-age-sex-M1,ADHD,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90275001-GCST90276000/GCST90275147/GCST90275147.tsv,GCST90275147,GCST90275147.tsv, European,GRCh37,rs_id,effect_allele,other_allele,effect_allele_frequency,,,z,beta,,standard_error,p_value,,58286,,21738.0,,36548.0,,"ref_allele, variant_id"
PSY,subtype,ADuLT: An efficient and robust time-to-event GWAS.,37689771,attention deficit hyperactivity disorder,attention deficit disorder,sex,ADHD-sex-M1,ADHD,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90275001-GCST90276000/GCST90275148/GCST90275148.tsv,GCST90275148,GCST90275148.tsv, European,GRCh37,rs_id,effect_allele,other_allele,effect_allele_frequency,,,z,beta,,standard_error,p_value,,58286,,21738.0,,36548.0,,"ref_allele, variant_id"
PSY,minor,ADuLT: An efficient and robust time-to-event GWAS.,37689771,attention deficit hyperactivity disorder,attention deficit disorder,,ADHD-1,ADHD,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90275001-GCST90276000/GCST90275149/GCST90275149.tsv,GCST90275149,GCST90275149.tsv, European,GRCh37,rs_id,effect_allele,other_allele,effect_allele_frequency,,,z,beta,,standard_error,p_value,,58286,,21738.0,,36548.0,,"ref_allele, variant_id"
PSY,main,"Genome-wide analyses of attention deficit hyperactivity disorder identify 27 risk loci, refine the genetic architecture, and implicate several cognitive domains",36702997,attention deficit hyperactivity disorder,attention deficit disorder,,ADHD-PGC-2022,ADHD,https://figshare.com/ndownloader/files/40036684,PGC-ADHD-2022,ADHD2022_iPSYCH_deCODE_PGC.meta.gz,"European, Danish",GRCh37,SNP,A1,A2,,FRQ_U_186843,FRQ_A_38691,,,OR,SE,P,,225534,Nca,38691.0,Nco,186843.0,INFO,
PSY,subtype,ADuLT: An efficient and robust time-to-event GWAS.,37689771,autism,autism,"age, sex",autism-age-sex-M1,ASD,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90275001-GCST90276000/GCST90275150/GCST90275150.tsv,GCST90275150,GCST90275150.tsv, European,GRCh37,rs_id,effect_allele,other_allele,effect_allele_frequency,,,z,beta,,standard_error,p_value,,54976,,18235.0,,36741.0,,"ref_allele, variant_id"
PSY,subtype,ADuLT: An efficient and robust time-to-event GWAS.,37689771,autism,autism,sex,autism-sex-M1,ASD,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90275001-GCST90276000/GCST90275151/GCST90275151.tsv,GCST90275151,GCST90275151.tsv, European,GRCh37,rs_id,effect_allele,other_allele,effect_allele_frequency,,,z,beta,,standard_error,p_value,,54976,,18235.0,,36741.0,,"ref_allele, variant_id"
PSY,minor,ADuLT: An efficient and robust time-to-event GWAS.,37689771,autism,autism,,autism-1,ASD,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90275001-GCST90276000/GCST90275152/GCST90275152.tsv,GCST90275152,GCST90275152.tsv, European,GRCh37,rs_id,effect_allele,other_allele,effect_allele_frequency,,,z,beta,,standard_error,p_value,,54976,,18235.0,,36741.0,,"ref_allele, variant_id"
